id,test,model,date,timestamp,agent,component,time
40,2,gpt-5.1,27/02/2026,278.6382739543915,Prediction,6056492,2.91974
40,2,gpt-5.1,27/02/2026,281.5935344696045,Robot,6056492,7.55922
40,2,gpt-5.1,27/02/2026,289.15275144577026,Human,6056492,4.0093
40,2,gpt-5.1,27/02/2026,296.43327832221985,Recognition,6330455,2.425
40,2,gpt-5.1,27/02/2026,298.8585925102234,Prediction,6330455,4.69077
40,2,gpt-5.1,27/02/2026,303.5677983760834,Robot,6330455,8.02518
40,2,gpt-5.1,27/02/2026,311.5929808616638,Human,6330455,4.48107
40,2,gpt-5.1,27/02/2026,319.35748529434204,Recognition,6330456,2.67931
40,2,gpt-5.1,27/02/2026,322.0372133255005,Prediction,6330456,2.45704
40,2,gpt-5.1,27/02/2026,324.53119468688965,Robot,6330456,7.18914
40,2,gpt-5.1,27/02/2026,331.7203333377838,Human,6330456,7.34588
40,2,gpt-5.1,27/02/2026,342.3672387599945,Recognition,6226661,2.53345
40,2,gpt-5.1,27/02/2026,344.9008901119232,Prediction,6226661,2.03581
40,2,gpt-5.1,27/02/2026,346.9778583049774,Robot,6226661,7.8068
40,2,gpt-5.1,27/02/2026,354.78466629981995,Human,6226661,3.68965
38,3,gpt-5.1,27/02/2026,3.3138465881347656,Recognition,6086771,5.08748
38,3,gpt-5.1,27/02/2026,8.401448249816895,Prediction,6086771,2.63654
38,3,gpt-5.1,27/02/2026,11.073801517486572,Robot,6086771,8.27547
38,3,gpt-5.1,27/02/2026,19.349271059036255,Human,6086771,3.67395
38,3,gpt-5.1,27/02/2026,26.26845932006836,Recognition,6330459,4.97
38,3,gpt-5.1,27/02/2026,31.238702058792114,Prediction,6330459,2.55855
38,3,gpt-5.1,27/02/2026,33.835922956466675,Robot,6330459,7.25764
38,3,gpt-5.1,27/02/2026,41.09356188774109,Human,6330459,5.49639
38,3,gpt-5.1,27/02/2026,49.86353158950806,Recognition,4610745,3.17196
38,3,gpt-5.1,27/02/2026,53.03570055961609,Prediction,4610745,2.13323
38,3,gpt-5.1,27/02/2026,55.207619190216064,Robot,4610745,7.97292
38,3,gpt-5.1,27/02/2026,63.18054151535034,Human,4610745,2.52069
38,3,gpt-5.1,27/02/2026,68.96930980682373,Recognition,,2.23952
38,3,gpt-5.1,27/02/2026,83.84559392929077,Recognition,6335178,3.01297
38,3,gpt-5.1,27/02/2026,86.85874772071838,Prediction,6335178,3.11231
38,3,gpt-5.1,27/02/2026,90.0114004611969,Robot,6335178,8.04905
38,3,gpt-5.1,27/02/2026,98.06044960021973,Human,6335178,3.56958
38,3,gpt-5.1,27/02/2026,104.88781142234802,Recognition,6335170,2.47
38,3,gpt-5.1,27/02/2026,107.3628306388855,Prediction,6335170,2.4938
38,3,gpt-5.1,27/02/2026,109.91701889038086,Robot,6335170,8.51923
38,3,gpt-5.1,27/02/2026,118.43625140190125,Human,6335170,3.05789
38,3,gpt-5.1,27/02/2026,124.73033833503723,Recognition,4648231,2.44936
38,3,gpt-5.1,27/02/2026,127.17990398406982,Prediction,4648231,2.26154
38,3,gpt-5.1,27/02/2026,129.4928138256073,Robot,4648231,7.99935
38,3,gpt-5.1,27/02/2026,137.49217247962952,Human,4648231,3.47365
38,3,gpt-5.1,27/02/2026,144.21070003509521,Recognition,4648238,9.05569
38,3,gpt-5.1,27/02/2026,153.26657795906067,Prediction,4648238,2.61618
38,3,gpt-5.1,27/02/2026,155.94666409492493,Robot,4648238,8.00995
38,3,gpt-5.1,27/02/2026,163.95661306381226,Human,4648238,3.27846
38,3,gpt-5.1,27/02/2026,170.50328636169434,Recognition,6192849,3.36095
38,3,gpt-5.1,27/02/2026,173.864431142807,Prediction,6192849,2.87085
38,3,gpt-5.1,27/02/2026,176.7684087753296,Robot,6192849,8.35635
38,3,gpt-5.1,27/02/2026,185.1247639656067,Human,6192849,3.39373
38,3,gpt-5.1,27/02/2026,200.92476296424866,Recognition,6086771,1.98556
38,3,gpt-5.1,27/02/2026,202.91049885749817,Prediction,6086771,2.61501
38,3,gpt-5.1,27/02/2026,205.58019948005676,Robot,6086771,8.87244
38,3,gpt-5.1,27/02/2026,214.45264625549316,Human,6086771,2.13733
38,3,gpt-5.1,27/02/2026,219.85168623924255,Recognition,6056475,3.62442
38,3,gpt-5.1,27/02/2026,223.47641444206238,Prediction,6056475,2.36722
38,3,gpt-5.1,27/02/2026,225.87279772758484,Robot,6056475,7.47547
38,3,gpt-5.1,27/02/2026,233.34826803207397,Human,6056475,2.19353
38,3,gpt-5.1,27/02/2026,238.78720545768738,Recognition,6286272,2.91518
38,3,gpt-5.1,27/02/2026,241.70246505737305,Prediction,6286272,2.48301
38,3,gpt-5.1,27/02/2026,244.2173249721527,Robot,6286272,7.73889
38,3,gpt-5.1,27/02/2026,251.95622158050537,Human,6286272,2.34546
38,3,gpt-5.1,27/02/2026,257.56120443344116,Recognition,6056492,2.19032
38,3,gpt-5.1,27/02/2026,259.7517158985138,Prediction,6056492,2.40743
38,3,gpt-5.1,27/02/2026,262.21681547164917,Robot,6056492,7.58778
38,3,gpt-5.1,27/02/2026,269.80459547042847,Human,6056492,1.9853
38,3,gpt-5.1,27/02/2026,275.04827976226807,Recognition,6330455,2.8734
38,3,gpt-5.1,27/02/2026,277.9218873977661,Prediction,6330455,2.23856
38,3,gpt-5.1,27/02/2026,280.20057129859924,Robot,6330455,7.89134
38,3,gpt-5.1,27/02/2026,288.0919117927551,Human,6330455,2.51395
38,3,gpt-5.1,27/02/2026,293.86432123184204,Recognition,6330456,2.33634
38,3,gpt-5.1,27/02/2026,296.2009129524231,Prediction,6330456,2.24481
38,3,gpt-5.1,27/02/2026,298.47259736061096,Robot,6330456,7.20299
38,3,gpt-5.1,27/02/2026,305.6755864620209,Human,6330456,3.04146
38,3,gpt-5.1,27/02/2026,311.9770736694336,Recognition,6226661,2.91377
38,3,gpt-5.1,27/02/2026,314.8910460472107,Prediction,6226661,2.18924
38,3,gpt-5.1,27/02/2026,317.11915254592896,Robot,6226661,7.82901
38,3,gpt-5.1,27/02/2026,324.9481682777405,Human,6226661,3.52951
38,3,gpt-5.1,27/02/2026,337.7819516658783,Human,,6.72752
68,1,gpt-5.1,27/02/2026,3.302696466445923,Recognition,6086771,2.68876
68,1,gpt-5.1,27/02/2026,5.991607427597046,Prediction,6086771,2.08774
68,1,gpt-5.1,27/02/2026,8.10912036895752,Robot,6086771,8.32726
68,1,gpt-5.1,27/02/2026,16.43638515472412,Human,6086771,1.37172
68,1,gpt-5.1,27/02/2026,21.083459615707397,Recognition,6330459,2.70319
68,1,gpt-5.1,27/02/2026,23.78685688972473,Prediction,6330459,2.15484
68,1,gpt-5.1,27/02/2026,25.968798398971558,Robot,6330459,7.27646
68,1,gpt-5.1,27/02/2026,33.24525809288025,Human,6330459,1.85034
68,1,gpt-5.1,27/02/2026,38.358174324035645,Recognition,4610745,2.86028
68,1,gpt-5.1,27/02/2026,41.218666315078735,Prediction,4610745,2.13412
68,1,gpt-5.1,27/02/2026,43.39148426055908,Robot,4610745,7.95758
68,1,gpt-5.1,27/02/2026,51.349069356918335,Human,4610745,2.2034
68,1,gpt-5.1,27/02/2026,65.2798364162445,Recognition,6335178,3.47263
68,1,gpt-5.1,27/02/2026,68.75265550613403,Prediction,6335178,2.60513
68,1,gpt-5.1,27/02/2026,71.4138913154602,Robot,6335178,8.01518
68,1,gpt-5.1,27/02/2026,79.42907571792603,Human,6335178,1.45906
68,1,gpt-5.1,27/02/2026,84.15036177635193,Recognition,6335170,2.82348
68,1,gpt-5.1,27/02/2026,86.97404193878174,Prediction,6335170,2.69539
68,1,gpt-5.1,27/02/2026,89.71236824989319,Robot,6335170,8.49998
68,1,gpt-5.1,27/02/2026,98.21235632896423,Human,6335170,1.21144
68,1,gpt-5.1,27/02/2026,102.69994878768921,Recognition,4648231,2.80073
68,1,gpt-5.1,27/02/2026,105.50087118148804,Prediction,4648231,2.20207
68,1,gpt-5.1,27/02/2026,107.74929642677307,Robot,4648231,7.97496
68,1,gpt-5.1,27/02/2026,115.7242591381073,Human,4648231,2.2921
68,1,gpt-5.1,27/02/2026,121.28380846977234,Recognition,4648238,3.83065
68,1,gpt-5.1,27/02/2026,125.11472725868225,Prediction,4648238,2.48814
68,1,gpt-5.1,27/02/2026,127.66530799865723,Robot,4648238,8.04373
68,1,gpt-5.1,27/02/2026,135.7090380191803,Human,4648238,2.80265
68,1,gpt-5.1,27/02/2026,141.80853533744812,Recognition,6192849,2.9065
68,1,gpt-5.1,27/02/2026,144.7152397632599,Prediction,6192849,2.66924
68,1,gpt-5.1,27/02/2026,147.42794108390808,Robot,6192849,9.02481
68,1,gpt-5.1,27/02/2026,156.45275855064392,Human,6192849,2.43532
68,1,gpt-5.1,27/02/2026,170.39016389846802,Recognition,6086771,2.42
68,1,gpt-5.1,27/02/2026,172.8103744983673,Prediction,6086771,3.3836
68,1,gpt-5.1,27/02/2026,176.24310183525085,Robot,6086771,7.85757
68,1,gpt-5.1,27/02/2026,184.10067653656006,Human,6086771,1.18762
68,1,gpt-5.1,27/02/2026,188.56940937042236,Recognition,6056475,2.66344
68,1,gpt-5.1,27/02/2026,191.23305082321167,Prediction,6056475,2.07281
68,1,gpt-5.1,27/02/2026,193.34464287757874,Robot,6056475,7.26747
68,1,gpt-5.1,27/02/2026,200.61211133003235,Human,6056475,0.75568
68,1,gpt-5.1,27/02/2026,204.63821363449097,Recognition,6286272,2.57548
68,1,gpt-5.1,27/02/2026,207.21389198303223,Prediction,6286272,2.45113
68,1,gpt-5.1,27/02/2026,209.6911699771881,Robot,6286272,7.5213
68,1,gpt-5.1,27/02/2026,217.21247220039368,Human,6286272,2.1797
68,1,gpt-5.1,27/02/2026,222.65107226371765,Recognition,6056492,2.82613
68,1,gpt-5.1,27/02/2026,225.47738814353943,Prediction,6056492,2.8964
68,1,gpt-5.1,27/02/2026,228.41313338279724,Robot,6056492,7.56673
68,1,gpt-5.1,27/02/2026,235.97987008094788,Human,6056492,3.19562
68,1,gpt-5.1,27/02/2026,242.44211435317993,Recognition,6330455,3.05279
68,1,gpt-5.1,27/02/2026,245.49512386322021,Prediction,6330455,3.14415
68,1,gpt-5.1,27/02/2026,248.66743278503418,Robot,6330455,7.96908
68,1,gpt-5.1,27/02/2026,256.6365132331848,Human,6330455,8.54341
68,1,gpt-5.1,27/02/2026,268.4945070743561,Recognition,6330456,3.61804
68,1,gpt-5.1,27/02/2026,272.1127350330353,Prediction,6330456,2.49799
68,1,gpt-5.1,27/02/2026,274.63377237319946,Robot,6330456,7.17845
68,1,gpt-5.1,27/02/2026,281.81222343444824,Human,6330456,4.1398
68,1,gpt-5.1,27/02/2026,289.2440233230591,Recognition,6226661,2.27777
68,1,gpt-5.1,27/02/2026,291.52200984954834,Prediction,6226661,2.20757
68,1,gpt-5.1,27/02/2026,293.75940203666687,Robot,6226661,7.80488
68,1,gpt-5.1,27/02/2026,301.56428146362305,Human,6226661,2.6352
70,2,gpt-5.1,02/03/2026,3.2832698822021484,Recognition,6086771,2.16806
70,2,gpt-5.1,02/03/2026,5.4514429569244385,Prediction,6086771,2.40219
